daerah,jokowi,prabowo
ACEH,402474,2387904
ACEH BARAT,15800,97185
ACEH BARAT DAYA,8787,76541
ACEH BESAR,19601,203387
ACEH JAYA,5640,47937
ACEH SELATAN,12571,120251
ACEH SINGKIL,18383,48354
ACEH TAMIANG,24075,130185
ACEH TENGAH,47145,73103
ACEH TENGGARA,33769,90092
ACEH TIMUR,21271,177136
ACEH UTARA,23835,284458
BENER MERIAH,36500,53343
BIREUEN,15298,209750
GAYO LUES,18773,35439
KOTA BANDA ACEH,15125,106554
KOTA LANGSA,10368,81317
KOTA LHOKSEUMAWE,8001,87055
KOTA SABANG,2731,19173
KOTA SUBULUSSALAM,9336,39148
NAGAN RAYA,12932,86648
PIDIE,17892,210432
PIDIE JAYA,6644,80633
SIMEULUE,17997,29783
SUMATERA UTARA,3921733,3578597
ASAHAN,157592,236429
BATU BARA,95563,128787
DAIRI,145467,17094
DELI SERDANG,445030,526805
HUMBANG HASUNDUTAN,98779,4659
KARO,202377,17507
KOTA BINJAI,55815,99723
KOTA GUNUNGSITOLI,54200,8871
KOTA MEDAN,540077,643643
KOTA PADANG SIDEMPUAN,25011,91768
KOTA PEMATANGSIANTAR,106556,37719
KOTA SIBOLGA,29231,20466
KOTA TANJUNG BALAI,25275,65472
KOTA TEBING TINGGI,42520,53629
LABUHANBATU,84105,158054
LABUHANBATU SELATAN,67892,96140
LABUHANBATU UTARA,81100,112934
LANGKAT,237428,328590
MANDAILING NATAL,41532,195163
NIAS,60796,4018
NIAS BARAT,35597,2552
NIAS SELATAN,125025,8182
NIAS UTARA,52530,7922
PADANG LAWAS,29213,105967
PADANG LAWAS UTARA,38781,94159
PAKPAK BHARAT,19570,8911
SAMOSIR,72346,1417
SERDANG BEDAGAI,173683,186338
SIMALUNGUN,334685,156197
TAPANULI SELATAN,61190,103144
TAPANULI TENGAH,128880,42203
TAPANULI UTARA,152259,9659
TOBA SAMOSIR,101628,4475
SUMATERA BARAT,407638,2485265
AGAM,25502,231383
DHARMASRAYA,38733,87584
KEPULAUAN MENTAWAI,40978,9210
KOTA BUKITTINGGI,7926,55019
KOTA PADANG,63418,405843
KOTA PADANG PANJANG,3993,27645
KOTA PARIAMAN,4221,46478
KOTA PAYAKUMBUH,9532,64234
KOTA SAWAHLUNTO,7091,31418
KOTA SOLOK,4955,35611
LIMA PULUH KOTA,25697,185562
PADANG PARIAMAN,20557,193652
PASAMAN,13638,146392
PASAMAN BARAT,34658,183087
PESISIR SELATAN,36876,229511
SIJUNJUNG,15705,110012
SOLOK,17985,187751
SOLOK SELATAN,14134,78939
TANAH DATAR,22039,175934
RIAU,1246888,1973298
BENGKALIS,136413,179401
INDRAGIRI HILIR,134523,202784
INDRAGIRI HULU,100422,134832
KAMPAR,123099,283892
KEPULAUAN MERANTI,49584,54024
KOTA DUMAI,65904,92146
KOTA PEKANBARU,125925,351537
KUANTAN SINGINGI,61201,126224
PELALAWAN,83859,97843
ROKAN HILIR,148183,165696
ROKAN HULU,112812,159594
SIAK,104963,125325
JAMBI,858738,1200255
BATANGHARI,69118,93096
BUNGO,67937,135826
KERINCI,42980,120330
KOTA JAMBI,141927,199044
KOTA SUNGAI PENUH,9154,46298
MERANGIN,82203,138538
MUARO JAMBI,125023,109592
SAROLANGUN,62103,105620
TANJUNG JABUNG BARAT,87936,86259
TANJUNG JABUNG TIMUR,78089,60349
TEBO,92268,105303
SUMATERA SELATAN,1916832,2832745
BANYUASIN,230826,227026
EMPAT LAWANG,43085,106702
KOTA LUBUKLINGGAU,41054,91004
KOTA PAGAR ALAM,40847,49412
KOTA PALEMBANG,330381,522628
KOTA PRABUMULIH,40593,71735
LAHAT,72211,181138
MUARA ENIM,123583,227483
MUSI BANYUASIN,158978,203983
MUSI RAWAS,98701,141262
MUSI RAWAS UTARA,44191,77613
OGAN ILIR,96397,143837
OGAN KOMERING ILIR,207533,224047
OGAN KOMERING ULU,51971,162003
OGAN KOMERING ULU SELATAN,106665,116947
OGAN KOMERING ULU TIMUR,183855,220690
PENUKAL ABAB LEMATANG ILIR,45961,65235
BENGKULU,582845,585598
BENGKULU SELATAN,51416,47515
BENGKULU TENGAH,34633,36749
BENGKULU UTARA,106200,70423
KAUR,39518,36333
KEPAHIANG,40751,49029
KOTA BENGKULU,87194,113282
LEBONG,36191,29792
MUKOMUKO,57237,51514
REJANG LEBONG,69415,90522
SELUMA,60290,60439
LAMPUNG,2845798,1951645
KOTA BANDAR LAMPUNG,258778,295940
KOTA METRO,51868,46939
LAMPUNG BARAT,101210,75949
LAMPUNG SELATAN,373892,201425
LAMPUNG TENGAH,490053,241103
LAMPUNG TIMUR,415957,179326
LAMPUNG UTARA,152967,203110
MESUJI,85416,33926
PESAWARAN,153388,110451
PESISIR BARAT,46479,42805
PRINGSEWU,149347,92225
TANGGAMUS,165714,174884
TULANG BAWANG,151512,70261
TULANG BAWANG BARAT,105677,59754
WAY KANAN,143540,123547
KEPULAUAN BANGKA BELITUNG,495500,288097
BANGKA,96963,75177
BANGKA BARAT,71537,38003
BANGKA SELATAN,68531,39349
BANGKA TENGAH,63319,39166
BELITUNG,77639,28211
BELITUNG TIMUR,56462,15954
KOTA PANGKALPINANG,61049,52237
KEPULAUAN RIAU,548388,462666
BINTAN,50422,36972
KARIMUN,70333,59615
KEPULAUAN ANAMBAS,17352,8997
KOTA BATAM,285295,267188
KOTA TANJUNGPINANG,62823,53064
LINGGA,34239,20763
NATUNA,27924,16067
DKI JAKARTA,3269971,3057851
JAKARTA BARAT,830191,611338
JAKARTA PUSAT,333010,315164
JAKARTA SELATAN,670875,721313
JAKARTA TIMUR,855365,985329
JAKARTA UTARA,571704,416426
KEPULAUAN SERIBU,8826,8281
JAWA BARAT,10729229,16044787
BANDUNG,778856,1245820
BANDUNG BARAT,358905,649894
BEKASI,591107,1042051
BOGOR,860384,2029779
CIAMIS,298913,431938
CIANJUR,461008,774195
CIREBON,822615,449430
GARUT,411887,1067391
INDRAMAYU,704388,281587
KARAWANG,584803,779480
KOTA BANDUNG,620555,866384
KOTA BANJAR,63027,55648
KOTA BEKASI,617185,751461
KOTA BOGOR,228194,399224
KOTA CIMAHI,120182,213739
KOTA CIREBON,103878,93136
KOTA DEPOK,462228,615615
KOTA SUKABUMI,61607,138644
KOTA TASIKMALAYA,111781,314270
KUNINGAN,252289,376175
MAJALENGKA,346928,425010
PANGANDARAN,164069,96966
PURWAKARTA,156095,405926
SUBANG,536458,392636
SUKABUMI,400469,1011896
SUMEDANG,309241,407784
TASIKMALAYA,302177,728708
JAWA TENGAH,16784716,4939445
BANJARNEGARA,410309,171062
BANYUMAS,790604,274621
BATANG,395322,91918
BLORA,446711,104236
BOYOLALI,581027,94318
BREBES,739374,318345
CILACAP,774077,289229
DEMAK,544970,161237
GROBOGAN,732560,125038
JEPARA,594646,114725
KARANGANYAR,463481,114478
KEBUMEN,545496,208921
KENDAL,493114,134644
KLATEN,646611,164739
KOTA MAGELANG,56141,25267
KOTA PEKALONGAN,138336,49916
KOTA SALATIGA,94215,26523
KOTA SEMARANG,779685,221026
KOTA SURAKARTA,301627,65171
KOTA TEGAL,97007,58796
KUDUS,406424,123674
MAGELANG,600718,230502
PATI,696665,115859
PEKALONGAN,447155,111641
PEMALANG,592411,193375
PURBALINGGA,420038,152639
PURWOREJO,341564,121121
REMBANG,320320,87960
SEMARANG,536118,122906
SRAGEN,485470,114424
SUKOHARJO,424446,127162
TEGAL,549486,320051
TEMANGGUNG,412907,102081
WONOGIRI,516053,94673
WONOSOBO,409628,107167
DAERAH ISTIMEWA YOGYAKARTA,1640789,735789
BANTUL,426953,202150
GUNUNGKIDUL,379533,116674
KOTA YOGYAKARTA,178753,92060
KULON PROGO,192468,92692
SLEMAN,463082,232213
JAWA TIMUR,16189282,8419928
BANGKALAN,435872,317828
BANYUWANGI,710891,273523
BLITAR,636843,111038
BOJONEGORO,560593,273457
BONDOWOSO,213422,277080
GRESIK,505738,252348
JEMBER,891241,484795
JOMBANG,615022,187427
KEDIRI,814945,173277
KOTA BATU,101321,35434
KOTA BLITAR,73310,21019
KOTA KEDIRI,143521,38904
KOTA MADIUN,85012,34032
KOTA MALANG,345127,167834
KOTA MOJOKERTO,60722,24765
KOTA PASURUAN,71354,54028
KOTA PROBOLINGGO,84989,60556
KOTA SURABAYA,1118411,479904
LAMONGAN,515778,282348
LUMAJANG,386336,265990
MADIUN,333848,113478
MAGETAN,286038,136383
MALANG,1167760,382318
MOJOKERTO,531163,165048
NGANJUK,540441,131952
NGAWI,424010,118764
PACITAN,116009,230623
PAMEKASAN,102652,529770
PASURUAN,589334,378134
PONOROGO,421365,166478
PROBOLINGGO,427432,278120
SAMPANG,192350,562610
SIDOARJO,816047,349739
SITUBONDO,202721,203949
SUMENEP,242835,436379
TRENGGALEK,351836,104756
TUBAN,532824,195783
TULUNGAGUNG,540169,120057
BANTEN,2530608,4045338
KOTA CILEGON,76408,177376
KOTA SERANG,116045,264883
KOTA TANGERANG,464468,561977
KOTA TANGERANG SELATAN,410261,389123
LEBAK,260262,489269
PANDEGLANG,262599,442282
SERANG,273296,646642
TANGERANG,667269,1073786
BALI,2342628,212586
BADUNG,310859,23277
BANGLI,149145,8926
BULELENG,383343,46089
GIANYAR,317623,12618
JEMBRANA,151956,33363
KARANGASEM,273709,20494
KLUNGKUNG,118154,10485
KOTA DENPASAR,336312,39319
TABANAN,301527,18015
NUSA TENGGARA BARAT,950480,2009305
BIMA,43626,239782
DOMPU,37869,104240
KOTA BIMA,15637,75673
KOTA MATARAM,91399,155968
LOMBOK BARAT,106509,294459
LOMBOK TENGAH,168949,420732
LOMBOK TIMUR,280981,427499
LOMBOK UTARA,70649,71090
SUMBAWA,105203,170642
SUMBAWA BARAT,29658,49220
NUSA TENGGARA TIMUR,2362041,305615
ALOR,85039,29185
BELU,81645,17333
ENDE,114267,32250
FLORES TIMUR,109779,21537
KOTA KUPANG,175697,22614
KUPANG,161312,15771
LEMBATA,54082,12985
MALAKA,80772,9282
MANGGARAI,148741,14090
MANGGARAI BARAT,111717,23984
MANGGARAI TIMUR,132218,16250
NAGEKEO,72220,6800
NGADA,76552,7323
ROTE NDAO,63937,5325
SABU RAIJUA,39001,1945
SIKKA,151863,17088
SUMBA BARAT,54172,5051
SUMBA BARAT DAYA,163936,7371
SUMBA TENGAH,34895,3115
SUMBA TIMUR,119364,10727
TIMOR TENGAH SELATAN,212969,14220
TIMOR TENGAH UTARA,117863,11369
KALIMANTAN BARAT,1707147,1260600
BENGKAYANG,107311,30352
KAPUAS HULU,89606,59967
KAYONG UTARA,25527,38467
KETAPANG,165417,124120
KOTA PONTIANAK,132252,234378
KOTA SINGKAWANG,64356,50212
KUBU RAYA,121318,217784
LANDAK,212790,33772
MELAWI,81462,64635
MEMPAWAH,54941,98271
SAMBAS,167749,135383
SANGGAU,202483,66512
SEKADAU,91433,36596
SINTANG,190502,70151
KALIMANTAN TENGAH,828596,536213
BARITO SELATAN,44002,33412
BARITO TIMUR,43148,23952
BARITO UTARA,46180,31428
GUNUNG MAS,54293,9089
KAPUAS,94776,98985
KATINGAN,66832,21280
KOTA PALANGKARAYA,88739,61007
KOTAWARINGIN BARAT,79039,61271
KOTAWARINGIN TIMUR,113985,93623
LAMANDAU,38051,10601
MURUNG RAYA,33518,29967
PULANG PISAU,49580,26006
SERUYAN,54438,24401
SUKAMARA,22015,11191
KALIMANTAN SELATAN,823219,1467906
BALANGAN,21466,54441
BANJAR,102150,216477
BARITO KUALA,65955,109147
HULU SUNGAI SELATAN,36579,95727
HULU SUNGAI TENGAH,29844,126159
HULU SUNGAI UTARA,34487,93906
KOTA BANJARBARU,57078,74929
KOTA BANJARMASIN,130419,229734
KOTABARU,91218,79961
TABALONG,44232,100566
TANAH BUMBU,91192,94564
TANAH LAUT,87881,106914
TAPIN,30718,85381
KALIMANTAN TIMUR,1093148,870043
BERAU,78128,49086
KOTA BALIKPAPAN,199541,165432
KOTA BONTANG,53707,44943
KOTA SAMARINDA,208704,231131
KUTAI BARAT,73836,17255
KUTAI KARTANEGARA,214586,172658
KUTAI TIMUR,124899,61875
MAHAKAM ULU,15886,2663
PASER,68350,81412
PENAJAM PASER UTARA,55511,43588
SULAWESI UTARA,1218303,359131
BOLAANG MONGONDOW,85007,62826
BOLAANG MONGONDOW SELATAN,17495,24879
BOLAANG MONGONDOW TIMUR,24030,24650
BOLAANG MONGONDOW UTARA,25710,24652
