daerah,vote_jokowi,vote_prabowo,kategori
ACEH,402474,2387904,PROVINSI
ACEH BARAT,15800,97185,KABUPATEN/KOTA
ACEH BARAT DAYA,8787,76541,KABUPATEN/KOTA
ACEH BESAR,19601,203387,KABUPATEN/KOTA
ACEH JAYA,5640,47937,KABUPATEN/KOTA
ACEH SELATAN,12571,120251,KABUPATEN/KOTA
ACEH SINGKIL,18383,48354,KABUPATEN/KOTA
ACEH TAMIANG,24075,130185,KABUPATEN/KOTA
ACEH TENGAH,47145,73103,KABUPATEN/KOTA
ACEH TENGGARA,33769,90092,KABUPATEN/KOTA
ACEH TIMUR,21271,177136,KABUPATEN/KOTA
ACEH UTARA,23835,284458,KABUPATEN/KOTA
BENER MERIAH,36500,53343,KABUPATEN/KOTA
BIREUEN,15298,209750,KABUPATEN/KOTA
GAYO LUES,18773,35439,KABUPATEN/KOTA
KOTA BANDA ACEH,15125,106554,KABUPATEN/KOTA
KOTA LANGSA,10368,81317,KABUPATEN/KOTA
KOTA LHOKSEUMAWE,8001,87055,KABUPATEN/KOTA
KOTA SABANG,2731,19173,KABUPATEN/KOTA
KOTA SUBULUSSALAM,9336,39148,KABUPATEN/KOTA
NAGAN RAYA,12932,86648,KABUPATEN/KOTA
PIDIE,17892,210432,KABUPATEN/KOTA
PIDIE JAYA,6644,80633,KABUPATEN/KOTA
SIMEULUE,17997,29783,KABUPATEN/KOTA
SUMATERA UTARA,3921733,3578597,PROVINSI
ASAHAN,157592,236429,KABUPATEN/KOTA
BATU BARA,95563,128787,KABUPATEN/KOTA
DAIRI,145467,17094,KABUPATEN/KOTA
DELI SERDANG,445030,526805,KABUPATEN/KOTA
HUMBANG HASUNDUTAN,98779,4659,KABUPATEN/KOTA
KARO,202377,17507,KABUPATEN/KOTA
KOTA BINJAI,55815,99723,KABUPATEN/KOTA
KOTA GUNUNGSITOLI,54200,8871,KABUPATEN/KOTA
KOTA MEDAN,540077,643643,KABUPATEN/KOTA
KOTA PADANG SIDEMPUAN,25011,91768,KABUPATEN/KOTA
KOTA PEMATANGSIANTAR,106556,37719,KABUPATEN/KOTA
KOTA SIBOLGA,29231,20466,KABUPATEN/KOTA
KOTA TANJUNG BALAI,25275,65472,KABUPATEN/KOTA
KOTA TEBING TINGGI,42520,53629,KABUPATEN/KOTA
LABUHANBATU,84105,158054,KABUPATEN/KOTA
LABUHANBATU SELATAN,67892,96140,KABUPATEN/KOTA
LABUHANBATU UTARA,81100,112934,KABUPATEN/KOTA
LANGKAT,237428,328590,KABUPATEN/KOTA
MANDAILING NATAL,41532,195163,KABUPATEN/KOTA
NIAS,60796,4018,KABUPATEN/KOTA
NIAS BARAT,35597,2552,KABUPATEN/KOTA
NIAS SELATAN,125025,8182,KABUPATEN/KOTA
NIAS UTARA,52530,7922,KABUPATEN/KOTA
PADANG LAWAS,29213,105967,KABUPATEN/KOTA
PADANG LAWAS UTARA,38781,94159,KABUPATEN/KOTA
PAKPAK BHARAT,19570,8911,KABUPATEN/KOTA
SAMOSIR,72346,1417,KABUPATEN/KOTA
